날짜,지점,강수량(mm)
2023.3.19,108,
2023.3.20,108,
2023.3.21,108,
2023.3.22,108,
2023.3.23,108,0
2023.3.24,108,
2023.3.25,108,
2023.3.26,108,
2023.3.27,108,
2023.3.28,108,
2023.3.29,108,
2023.3.30,108,
2023.3.31,108,
2023.4.1,108,
2023.4.2,108,
2023.4.3,108,
2023.4.4,108,6.9
2023.4.5,108,50.3
2023.4.6,108,2.7
2023.4.7,108,
2023.4.8,108,
2023.4.9,108,
2023.4.10,108,
2023.4.11,108,2.9
2023.4.12,108,
2023.4.13,108,0
2023.4.14,108,
2023.4.15,108,4.6
2023.4.16,108,0
2023.4.17,108,
2023.4.18,108,1.5
2023.4.19,108,
2023.4.20,108,0.5
2023.4.21,108,
2023.4.22,108,
2023.4.23,108,
2023.4.24,108,
2023.4.25,108,0.4
2023.4.26,108,0
2023.4.27,108,
2023.4.28,108,1.9
2023.4.29,108,25.1
2023.4.30,108,0.1
2023.5.1,108,
2023.5.2,108,
2023.5.3,108,
2023.5.4,108,
2023.5.5,108,30.2
2023.5.6,108,47.5
2023.5.7,108,
2023.5.8,108,
2023.5.9,108,
2023.5.10,108,
2023.5.11,108,
2023.5.12,108,
2023.5.13,108,0
2023.5.14,108,
2023.5.15,108,
2023.5.16,108,
2023.5.17,108,
2023.5.18,108,1.3
2023.5.19,108,
2023.5.20,108,
2023.5.21,108,0.2
2023.5.22,108,0
2023.5.23,108,
2023.5.24,108,
2023.5.25,108,0
2023.5.26,108,0.5
2023.5.27,108,31.8
2023.5.28,108,41.8
2023.5.29,108,2.3
2023.5.30,108,
2023.5.31,108,
2023.6.1,108,
2023.6.2,108,0
2023.6.3,108,
2023.6.4,108,
2023.6.5,108,
2023.6.6,108,0
2023.6.7,108,0
2023.6.8,108,1.9
2023.6.9,108,1.2
2023.6.10,108,0.8
2023.6.11,108,32.2
2023.6.12,108,0
2023.6.13,108,0
2023.6.14,108,30.6
2023.6.15,108,
2023.6.16,108,
2023.6.17,108,
2023.6.18,108,
2023.6.19,108,
2023.6.20,108,6.4
2023.6.21,108,24.9
2023.6.22,108,0
2023.6.23,108,
2023.6.24,108,
2023.6.25,108,
2023.6.26,108,30.3
2023.6.27,108,2.5
2023.6.28,108,0
2023.6.29,108,63.8
2023.6.30,108,1
